dig,iap,iau,ndn,tts,tec,rdf,fin,agdp,tin,url,gov,net,tra,edu,icl,title,text
5.449191255,4680.02,2366.53,172.07,863.38,212911,14150035,0.79692847,1.779000755,0.104008602,59.13,0.12870673,4.569128415,0.26490736,-2.139701375,24685.3,0.019879912,-2.97245856
5.60602263,5596.91,2588.74,119.65,1499,204859,15636785,0.801497961,1.840441691,0.149066348,60.79,0.12746621,4.598950886,0.28346859,-2.12079592,26929.9,0.018468077,-2.536572641
5.707542065,6312.27,2884.82,151.66,3659.14,231585,14184975,0.823443026,1.891368125,0.21644114,61.46,0.13209159,4.6558633,0.29031363,-2.098458014,29204.6,0.037035474,-2.110490614
5.791060483,6915.23,3186.1,177.31,5786.4,263211,12109485,0.988980516,1.944493289,0.279372645,61.86,0.15112049,4.673762977,0.29044644,-2.076723136,31597,0.048621579,-1.943042932
5.851656354,6756.76,3445.62,181.99,7198.8,337280,13656187,1.084117647,1.971647512,0.314591738,63.05,0.15361238,4.676839473,0.30202562,-2.062734831,32885.7,0.050918849,-1.776864943
4.427,1435.71,927.62,22.8,610.9,43442,2489651,0.568711723,1.115043225,-0.374646905,41.99,0.16913908,4.120661871,0.11276926,-1.709077949,12772,0,-6.82986874
4.956390279,1747,1000.5,36.75,837.8,55920,2953409.5,0.640856547,1.197371061,-0.303363045,43.6,0.17341052,4.337160013,0.11738714,-1.844021749,14203.7,-0.002418923,-5.311503928
5.115895805,2016.41,1087.93,63.29,894.5,62434,3372309.5,0.687953416,1.28043372,-0.242642425,45.05,0.17255277,4.403543478,0.11543416,-1.849371055,15695.2,0.007235096,-4.179608376
5.324667142,3241.88,1488.98,103.2,1164.37,74373,3688252.4,0.77206233,1.343856478,-0.171408917,47.02,0.18375549,4.3758828,0.12391695,-1.842933607,17124.8,0.004404618,-3.655941242
5.407709743,4345.79,1767.23,117.75,757.67,94669,4096961.7,0.822486869,1.418906749,-0.098909148,48.78,0.18417125,4.415944853,0.11752224,-1.822069372,18443.1,0.019879912,-2.97245856
5.586948988,4475.85,2128.38,123.18,1484.62,119240,4722542,0.834010212,1.520016361,-0.058760049,50.56,0.18439951,4.494015137,0.11693118,-1.804944598,20170,0.018468077,-2.536572641
5.689548315,4780.81,2503.91,207.48,3950.31,154381,5289250,0.862549349,1.623616914,0.067864235,52.24,0.1918122,4.578723536,0.10974288,-1.784165929,21963.5,0.037035474,-2.110490614
